# time	voltage	position	halleffect	state	goal
0.0	0.0	0.2	false	LOWERING	1.0
0.01	-1.3000000000000012	0.2	false	LOWERING	1.0
0.02	-1.261481336216691	0.19996595436008335	false	LOWERING	1.0
0.03	-1.114435562126831	0.1998574313316674	false	LOWERING	1.0
0.04	-0.9738465220661408	0.1996797787889364	false	LOWERING	1.0
0.05	-0.8487809761892506	0.19944162613405006	false	LOWERING	1.0
0.060000000000000005	-0.7384281805465742	0.19915095904448915	false	LOWERING	1.0
0.07	-0.6412205255883485	0.19881485312954278	false	LOWERING	1.0
0.08	-0.5556819604161711	0.19843954414779738	false	LOWERING	1.0
0.09	-0.48049104300242895	0.19803051977403685	false	LOWERING	1.0
0.09999999999999999	-0.4144711283378122	0.1975926040628577	false	LOWERING	1.0
0.10999999999999999	-0.35657532105957124	0.1971300328762322	false	LOWERING	1.0
0.11999999999999998	-0.3058724483948505	0.19664652101499053	false	LOWERING	1.0
0.12999999999999998	-0.2615344862851643	0.19614532193221598	false	LOWERING	1.0
0.13999999999999999	-0.2228253345906206	0.19562928083274247	false	LOWERING	1.0
0.15	-0.18909080168648673	0.19510088187828567	false	LOWERING	1.0
0.16	-0.15974966925422773	0.19456229014037246	false	LOWERING	1.0
0.17	-0.13428572144198458	0.19401538887398967	false	LOWERING	1.0
0.18000000000000002	-0.11224063493334158	0.19346181262304132	false	LOWERING	1.0
0.19000000000000003	-0.09320763750695349	0.19290297661350397	false	LOWERING	1.0
0.20000000000000004	-0.0768258525681631	0.19234010284089542	false	LOWERING	1.0
0.21000000000000005	-0.06277525595226874	0.1917742432146888	false	LOWERING	1.0
0.22000000000000006	-0.050772179198260714	0.1912063000830462	false	LOWERING	1.0
0.23000000000000007	-0.04056530052130025	0.19063704442620652	false	LOWERING	1.0
0.24000000000000007	-0.03193207102440421	0.19006713197559255	false	LOWERING	1.0
0.25000000000000006	-0.024675529283363362	0.18949711748779416	false	LOWERING	1.0
0.26000000000000006	-0.018621462489493146	0.18892746737768262	false	LOWERING	1.0
0.2700000000000001	-0.013615876791434056	0.18835857089269153	false	LOWERING	1.0
0.2800000000000001	-0.009522743495521402	0.18779074999047093	false	LOWERING	1.0
0.2900000000000001	-0.006221991358457135	0.18722426806443682	false	LOWERING	1.0
0.3000000000000001	-0.0036077183951266356	0.18665933764595657	false	LOWERING	1.0
0.3100000000000001	-0.0015865994818731188	0.18609612719783594	false	LOWERING	1.0
0.3200000000000001	-7.646858053989014E-5	0.18553476710121936	false	LOWERING	1.0
0.3300000000000001	9.949433210310055E-4	0.18497535492681821	false	LOWERING	1.0
0.34000000000000014	0.001691131414366387	0.18441796007139657	false	LOWERING	1.0
0.35000000000000014	0.002067816484030427	0.18386262783154136	false	LOWERING	1.0
0.36000000000000015	0.002173833958601934	0.18330938297880567	false	LOWERING	1.0
0.37000000000000016	0.002051924598100996	0.18275823289323698	false	LOWERING	1.0
0.38000000000000017	0.0017394375031065668	0.1822091703059959	false	LOWERING	1.0
0.3900000000000002	0.0012689550062949806	0.18166217569614748	false	LOWERING	1.0
0.4000000000000002	6.688479507965805E-4	0.18111721938169917	false	LOWERING	1.0
0.4100000000000002	-3.623104032346447E-5	0.1805742633404955	false	LOWERING	1.0
0.4200000000000002	-8.249095275469909E-4	0.18003326279260237	false	LOWERING	1.0
0.4300000000000002	-0.0016787064056500434	0.1794941675722737	false	LOWERING	1.0
0.4400000000000002	-0.0025816868541472804	0.17895692331443783	false	LOWERING	1.0
0.45000000000000023	-0.003520156270497843	0.17842147247783272	false	LOWERING	1.0
0.46000000000000024	-0.004482388909760049	0.17788775522441985	false	LOWERING	1.0
0.47000000000000025	-0.005458387398160625	0.17735571017247995	false	LOWERING	1.0
0.48000000000000026	-0.006439669719521257	0.17682527503881515	false	LOWERING	1.0
0.49000000000000027	-0.007419080632709019	0.17629638718371943	false	LOWERING	1.0
0.5000000000000002	-0.008390624815335368	0.17576898407081304	false	LOWERING	1.0
0.5100000000000002	-0.009349319320062222	0.17524300365244336	false	LOWERING	1.0
0.5200000000000002	-0.01029106319189732	0.17471838469011547	false	LOWERING	1.0
0.5300000000000002	-0.01121252233349801	0.17419506701831622	false	LOWERING	1.0
0.5400000000000003	-0.012111027913486172	0.17367299175911696	false	LOWERING	1.0
0.5500000000000003	-0.012984486794453964	0.17315210149407187	false	LOWERING	1.0
0.5600000000000003	-0.013831302630423759	0.1726323403991577	false	LOWERING	1.0
0.5700000000000003	-0.014650306430386006	0.17211365434781717	false	LOWERING	1.0
0.5800000000000003	-0.01544069551273064	0.17159599098655987	false	LOWERING	1.0
0.5900000000000003	-0.016201979900171137	0.1710792997870384	false	LOWERING	1.0
0.6000000000000003	-0.016933935301466363	0.17056353207803746	false	LOWERING	1.0
0.6100000000000003	-0.017636561931622108	0.17004864106039433	false	LOWERING	1.0
0.6200000000000003	-0.01831004849325857	0.16953458180749198	false	LOWERING	1.0
0.6300000000000003	-0.018954740725407593	0.1690213112536367	false	LOWERING	1.0
0.6400000000000003	-0.019571113987976174	0.16850878817233836	false	LOWERING	1.0
0.6500000000000004	-0.020159749411841066	0.16799697314625295	false	LOWERING	1.0
0.6600000000000004	-0.02072131319461601	0.1674858285303181	false	LOWERING	1.0
0.6700000000000004	-0.021256538672675962	0.1669753184094107	false	LOWERING	1.0
0.6800000000000004	-0.021766210834484045	0.1664654085516774	false	LOWERING	1.0
0.6900000000000004	-0.022251152990249157	0.16595606635853222	false	LOWERING	1.0
0.7000000000000004	-0.022712215330900065	0.16544726081217748	false	LOWERING	1.0
